Year,Category,Film,FilmId,Nominees,Winner
1957,Animated Film,Christopher Crumpet's Playmate,,,FALSE
1957,Animated Film,History Of The Cinema,,,FALSE
1957,Animated Film,The Invisible Moustache Of Raoul Dufy,,,FALSE
1957,Animated Film,Love And The Zeppelin,,,FALSE
1957,Animated Film,Rythmetic,,,FALSE
1957,British Actor,Peter Finch,,A Town Like Alice,TRUE
1957,British Actor,Jack Hawkins,,The Long Arm,FALSE
1957,British Actor,Kenneth More,,Reach For The Sky,FALSE
1957,British Actress,Virginia McKenna,,A Town Like Alice,TRUE
1957,British Actress,Dorothy Allison,,Reach For The Sky,FALSE
1957,British Actress,Audrey Hepburn,,War And Peace,FALSE
1957,British Film,Reach For The Sky,,,TRUE
1957,British Film,The Battle Of The River Plate,,,FALSE
1957,British Film,The Man Who Never Was,,,FALSE
1957,British Film,A Town Like Alice,,,FALSE
1957,British Film,Yield To The Night,,,FALSE
1957,British Screenplay,The Man Who Never Was,,Nigel Balchin,TRUE
1957,British Screenplay,The Battle Of the River Plate,,"Michael Powell, Emeric Pressburger",FALSE
1957,British Screenplay,The Green Man,,"Sidney Gilliat, Frank Launder",FALSE
1957,British Screenplay,Private's Progress,,"Frank Harvey, John Boulting",FALSE
1957,British Screenplay,Reach For The Sky,,Lewis Gilbert,FALSE
